,基金代码,基金简称,基金名称,基金类型,基金拼音
5936,007499,GDFGLDHHC,光大风格轮动混合C,混合型,GUANGDAFENGGELUNDONGHUNHEC
5937,007500,PHZCDKZFQS,鹏华尊诚定开债发起式,定开债券,PENGHUAZUNCHENGDINGKAIZHAIFAQISHI
5938,007501,WJKC3NFBHHC,万家科创3年封闭混合C,混合型,WANJIAKECHUANG3NIANFENGBIHUNHEC
5939,007502,QHKYYHHHC,前海开源裕和混合C,混合型,QIANHAIKAIYUANYUHEHUNHEC
5940,007505,HXAHJJLCGPA,华夏AH经济蓝筹股票A,股票指数,HUAXIAAHJINGJILANCHOUGUPIAOA
5941,007506,HXAHJJLCGPC,华夏AH经济蓝筹股票C,股票指数,HUAXIAAHJINGJILANCHOUGUPIAOC
5942,007507,DCZZ35NGKZA,大成中债3-5年国开债A,债券指数,DACHENGZHONGZHAI35NIANGUOKAIZHAIA
5943,007508,DCZZ35NGKZC,大成中债3-5年国开债C,债券指数,DACHENGZHONGZHAI35NIANGUOKAIZHAIC
5944,007509,HSRFLHPZHHC,华商润丰灵活配置混合C,混合型,HUASHANGRUNFENGLINGHUOPEIZHIHUNHEC
5945,007510,NFTYZQA,南方泰元债券A,债券型,NANFANGTAIYUANZHAIQUANA
5946,007511,NFTYZQC,南方泰元债券C,债券型,NANFANGTAIYUANZHAIQUANC
5947,007512,GYHGSGPC,工银沪港深股票C,股票型,GONGYINHUGANGSHENGUPIAOC
5948,007513,BSFF3GYDKZ,博时富丰3个月定开债,定开债券,BOSHIFUFENG3GEYUEDINGKAIZHAI
5949,007515,PHWLDZA,鹏华稳利短债A,债券型,PENGHUAWENLIDUANZHAIA
5950,007516,RTZRSGYDKZ,融通增润三个月定开债,定开债券,RONGTONGZENGRUNSANGEYUEDINGKAIZHAI
5951,007517,BSFC3GYDKZ,博时富淳3个月定开债,定开债券,BOSHIFUCHUN3GEYUEDINGKAIZHAI
5952,007518,DFAEFYXHHA,东方阿尔法优选混合A,混合型,DONGFANGAERFAYOUXUANHUNHEA
5953,007519,DFAEFYXHHC,东方阿尔法优选混合C,混合型,DONGFANGAERFAYOUXUANHUNHEC
5954,007520,FADFLCZ,富安达富利纯债,债券型,FUANDAFULICHUNZHAI
5955,007521,NFRTYF,南方日添益F,货币型,NANFANGRITIANYIF
5956,007522,NFLCJJYXHBE,南方理财金交易型货币E,货币型,NANFANGLICAIJINJIAOYIXINGHUOBIE
5957,007523,HTFNXZZGPA,汇添富内需增长股票A,股票型,HUITIANFUNEIXUZENGZHANGGUPIAOA
5958,007524,HTFNXZZGPC,汇添富内需增长股票C,股票型,HUITIANFUNEIXUZENGZHANGGUPIAOC
5959,007525,YFDNNHXYNDKZA,易方达年年恒夏一年定开债A,定开债券,YIFANGDANIANNIANHENGXIAYINIANDINGKAIZHAIA
5960,007526,YFDNNHXYNDKZC,易方达年年恒夏一年定开债C,定开债券,YIFANGDANIANNIANHENGXIAYINIANDINGKAIZHAIC
5961,007527,RTLHDCLHHA,融通量化多策略混合A,混合型,RONGTONGLIANGHUADUOCELUEHUNHEA
5962,007528,RTLHDCLHHC,融通量化多策略混合C,混合型,RONGTONGLIANGHUADUOCELUEHUNHEC
5963,007529,JSHXZDZA,嘉实汇鑫中短债A,债券型,JIASHIHUIXINZHONGDUANZHAIA
5964,007530,JSHXZDZC,嘉实汇鑫中短债C,债券型,JIASHIHUIXINZHONGDUANZHAIC
5965,007531,HBQSETFLJC,华宝券商ETF联接C,联接基金,HUABAOQUANSHANGETFLIANJIEC
5966,007532,GTSHSGYDKZ,国泰盛合三个月定开债,定开债券,GUOTAISHENGHESANGEYUEDINGKAIZHAI
5967,007533,GLCXCZHHA,格林创新成长混合A,混合型,GELINCHUANGXINCHENGZHANGHUNHEA
5968,007534,GLCXCZHHC,格林创新成长混合C,混合型,GELINCHUANGXINCHENGZHANGHUNHEC
5969,007535,ZOYHZQ,中欧盈和债券,定开债券,ZHONGOUYINGHEZHAIQUAN
5970,007536,BSFLCZZQ,博时富乐纯债债券,债券型,BOSHIFULECHUNZHAIZHAIQUAN
5971,007537,JSCCJTYLCZ,景顺长城景泰盈利纯债,债券型,JINGSHUNCHANGCHENGJINGTAIYINGLICHUNZHAI
5972,007538,YYHS300A,永赢沪深300A,股票指数,YONGYINGHUSHEN300A
5973,007539,YYHS300C,永赢沪深300C,股票指数,YONGYINGHUSHEN300C
5974,007540,HTBXAYZQ,华泰保兴安悦债券,债券型,HUATAIBAOXINGANYUEZHAIQUAN
5975,007541,XHMSCIZGAGGJETFLJ,新华MSCI中国A股国际ETF联接,联接基金,XINHUAMSCIZHONGGUOAGUGUOJIETFLIANJIE
5976,007542,YYKTZGDJZDZA,永赢开泰中高等级中短债A,债券型,YONGYINGKAITAIZHONGGAODENGJIZHONGDUANZHAIA
5977,007543,YYKTZGDJZDZC,永赢开泰中高等级中短债C,债券型,YONGYINGKAITAIZHONGGAODENGJIZHONGDUANZHAIC
5978,007544,PHZSDQKFFQSZQ,鹏华尊晟定期开放发起式债券,定开债券,PENGHUAZUNSHENGDINGQIKAIFANGFAQISHIZHAIQUAN
5979,007545,TPHASGYDKZ,太平恒安三个月定开债,定开债券,TAIPINGHENGANSANGEYUEDINGKAIZHAI
5980,007546,RTZXCZZQ,融通增享纯债债券,债券型,RONGTONGZENGXIANGCHUNZHAIZHAIQUAN
5981,007548,YFDESGZRTZGP,易方达ESG责任投资股票,股票型,YIFANGDAESGZERENTOUZIGUPIAO
5982,007549,ZTKYJZYXHHA,中泰开阳价值优选混合A,混合型,ZHONGTAIKAIYANGJIAZHIYOUXUANHUNHEA
5983,007550,DXWLJZHHC,东兴未来价值混合C,混合型,DONGXINGWEILAIJIAZHIHUNHEC
5984,007551,XYZLZQ,鑫元泽利债券,债券型,XINYUANZELIZHAIQUAN
5985,007552,ZXJTWYDKZC,中信建投稳裕定开债C,定开债券,ZHONGXINJIANTOUWENYUDINGKAIZHAIC
5986,007553,ZXJTYGHHC,中信建投医改混合C,混合型,ZHONGXINJIANTOUYIGAIHUNHEC
5987,007554,CTHLCZ,财通恒利纯债,债券型,CAITONGHENGLICHUNZHAI
5988,007555,ZHRMCZA,中航瑞明纯债A,债券型,ZHONGHANGRUIMINGCHUNZHAIA
5989,007556,ZHRMCZC,中航瑞明纯债C,债券型,ZHONGHANGRUIMINGCHUNZHAIC
5990,007557,ZJYXZGDJZQA,中加优选中高等级债券A,债券型,ZHONGJIAYOUXUANZHONGGAODENGJIZHAIQUANA
5991,007558,ZJYXZGDJZQC,中加优选中高等级债券C,债券型,ZHONGJIAYOUXUANZHONGGAODENGJIZHAIQUANC
5992,007559,XYFLSGYDQKFZ,鑫元富利三个月定期开放债,定开债券,XINYUANFULISANGEYUEDINGQIKAIFANGZHAI
5993,007560,ZRHXCZA,中融恒鑫纯债A,债券型,ZHONGRONGHENGXINCHUNZHAIA
5994,007561,ZRHXCZC,中融恒鑫纯债C,债券型,ZHONGRONGHENGXINCHUNZHAIC
5995,007562,JSCCJTCLZQ,景顺长城景泰纯利债券,债券型,JINGSHUNCHANGCHENGJINGTAICHUNLIZHAIQUAN
5996,007563,XYHYDKZ,兴银汇逸定开债,定开债券,XINGYINHUIYIDINGKAIZHAI
5997,007564,PYCMZQA,鹏扬淳明债券A,债券型,PENGYANGCHUNMINGZHAIQUANA
5998,007565,PYCMZQC,鹏扬淳明债券C,债券型,PENGYANGCHUNMINGZHAIQUANC
5999,007566,ZYNXZQ,中银宁享债券,债券型,ZHONGYINNINGXIANGZHAIQUAN
6000,007567,NFHX39GYA,南方恒新39个月A,定开债券,NANFANGHENGXIN39GEYUEA
6001,007568,NFHX39GYC,南方恒新39个月C,定开债券,NANFANGHENGXIN39GEYUEC
6002,007569,NFAFHHC,南方安福混合C,混合型,NANFANGANFUHUNHEC
6003,007570,FZFBHLJXHHC,方正富邦红利精选混合C,混合型,FANGZHENGFUBANGHONGLIJINGXUANHUNHEC
6004,007571,NFSZ380ETFLJC,南方上证380ETF联接C,联接基金,NANFANGSHANGZHENG380ETFLIANJIEC
6005,007572,ZJMFCZ,中加民丰纯债,债券型,ZHONGJIAMINFENGCHUNZHAI
6006,007573,NYHLFYSNDKZ,农银汇理丰盈三年定开债,定开债券,NONGYINHUILIFENGYINGSANNIANDINGKAIZHAI
6007,007574,BYXJZHHC,宝盈新价值混合C,混合型,BAOYINGXINJIAZHIHUNHEC
6008,007575,BYXTHHC,宝盈祥泰混合C,混合型,BAOYINGXIANGTAIHUNHEC
6009,007576,HXDQSGYDKZQ,华夏鼎琪三个月定开债券,定开债券,HUAXIADINGQISANGEYUEDINGKAIZHAIQUAN
6010,007577,BYXRHHC,宝盈祥瑞混合C,混合型,BAOYINGXIANGRUIHUNHEC
6011,007578,BYXRHHC,宝盈新锐混合C,混合型,BAOYINGXINRUIHUNHEC
6012,007579,BYXJZZHHC,宝盈先进制造混合C,混合型,BAOYINGXIANJINZHIZAOHUNHEC
6013,007580,BYZZ100ZSZQC,宝盈中证100指数增强C,股票指数,BAOYINGZHONGZHENG100ZHISHUZENGQIANGC
6014,007581,BYHLSYLHPZHHC,宝盈鸿利收益灵活配置混合C,混合型,BAOYINGHONGLISHOUYILINGHUOPEIZHIHUNHEC
6015,007582,ZTQYZDZA,中泰青月中短债A,债券型,ZHONGTAIQINGYUEZHONGDUANZHAIA
6016,007583,ZTQYZDZC,中泰青月中短债C,债券型,ZHONGTAIQINGYUEZHONGDUANZHAIC
6017,007584,PHFXZQ,鹏华丰鑫债券,债券型,PENGHUAFENGXINZHAIQUAN
6018,007585,GYRH3GYDKZ,工银瑞弘3个月定开债,定开债券,GONGYINRUIHONG3GEYUEDINGKAIZHAI
6019,007586,HTBXDCL,华泰保兴多策略,股票型,HUATAIBAOXINGDUOCELUE
6020,007587,ZSFYCZZQA,浙商丰裕纯债债券A,债券型,ZHESHANGFENGYUCHUNZHAIZHAIQUANA
6021,007588,ZSFYCZZQC,浙商丰裕纯债债券C,债券型,ZHESHANGFENGYUCHUNZHAIZHAIQUANC
6022,007589,JSZY42GYDQZQ,嘉实致元42个月定期债券,定开债券,JIASHIZHIYUAN42GEYUEDINGQIZHAIQUAN
6023,007590,HBLSLXGP,华宝绿色领先股票,股票型,HUABAOLVSELINGXIANGUPIAO
6024,007591,HXHY18GYDKZQ,华夏恒益18个月定开债券,定开债券,HUAXIAHENGYI18GEYUEDINGKAIZHAIQUAN
6025,007592,HXJZJXHH,华夏价值精选混合,混合型,HUAXIAJIAZHIJINGXUANHUNHE
6026,007593,PYZZ500ZLCZZSA,鹏扬中证500质量成长指数A,股票指数,PENGYANGZHONGZHENG500ZHILIANGCHENGZHANGZHISHUA
6027,007594,PYZZ500ZLCZZSC,鹏扬中证500质量成长指数C,股票指数,PENGYANGZHONGZHENG500ZHILIANGCHENGZHANGZHISHUC
6028,007595,ZSTZCZA,招商添泽纯债A,债券型,ZHAOSHANGTIANZECHUNZHAIA
6029,007596,ZSTZCZC,招商添泽纯债C,债券型,ZHAOSHANGTIANZECHUNZHAIC
6030,007598,GFMYCZ,广发民玉纯债,债券型,GUANGFAMINYUCHUNZHAI
6031,007600,TKRY63GYDKZQ,泰康润颐63个月定开债券,定开债券,TAIKANGRUNYI63GEYUEDINGKAIZHAIQUAN
6032,007601,RBLJCZA,人保利璟纯债A,债券型,RENBAOLIJINGCHUNZHAIA
6033,007602,RBLJCZC,人保利璟纯债C,债券型,RENBAOLIJINGCHUNZHAIC
6034,007603,JSCCZDZA,景顺长城中短债A,债券型,JINGSHUNCHANGCHENGZHONGDUANZHAIA
6035,007604,JSCCZDZC,景顺长城中短债C,债券型,JINGSHUNCHANGCHENGZHONGDUANZHAIC
6036,007605,JSHS300HLDBDETFLJA,嘉实沪深300红利低波动ETF联接A,联接基金,JIASHIHUSHEN300HONGLIDIBODONGETFLIANJIEA
6037,007606,JSHS300HLDBDETFLJC,嘉实沪深300红利低波动ETF联接C,联接基金,JIASHIHUSHEN300HONGLIDIBODONGETFLIANJIEC
6038,007607,RBTL9GYDKA,人保添利9个月定开A,定开债券,RENBAOTIANLI9GEYUEDINGKAIA
6039,007608,RBTL9GYDKC,人保添利9个月定开C,定开债券,RENBAOTIANLI9GEYUEDINGKAIC
6040,007609,HAJCZQA,汇安嘉诚债券A,债券型,HUIANJIACHENGZHAIQUANA
6041,007610,HAJCZQC,汇安嘉诚债券C,债券型,HUIANJIACHENGZHAIQUANC
6042,007611,HAYHCZZQA,汇安裕和纯债债券A,债券型,HUIANYUHECHUNZHAIZHAIQUANA
6043,007612,HAYHCZZQC,汇安裕和纯债债券C,债券型,HUIANYUHECHUNZHAIZHAIQUANC
6044,007613,JHYLJKHH,嘉合医疗健康混合,混合型,JIAHEYILIAOJIANKANGHUNHE
6045,007614,DBMYJQLHJRGPA,德邦民裕进取量化精锐股票A,股票型,DEBANGMINYUJINQULIANGHUAJINGRUIGUPIAOA
6046,007615,DBMYJQLHJRGPC,德邦民裕进取量化精锐股票C,股票型,DEBANGMINYUJINQULIANGHUAJINGRUIGUPIAOC
6047,007616,FGTZJXYZZQXA,富国投资级信用债债券型A,债券型,FUGUOTOUZIJIXINYONGZHAIZHAIQUANXINGA
6048,007617,FGTZJXYZZQXC,富国投资级信用债债券型C,债券型,FUGUOTOUZIJIXINYONGZHAIZHAIQUANXINGC
6049,007618,FGTZJXYZZQXD,富国投资级信用债债券型D,债券型,FUGUOTOUZIJIXINYONGZHAIZHAIQUANXINGD
6050,007619,ZORY63GYDKZ,中欧润逸63个月定开债,定开债券,ZHONGOURUNYI63GEYUEDINGKAIZHAI
6051,007622,ZOGLYNGDCYZQA,中欧滚利一年滚动持有债券A,债券型,ZHONGOUGUNLIYINIANGUNDONGCHIYOUZHAIQUANA
6052,007623,ZOGLYNGDCYZQC,中欧滚利一年滚动持有债券C,债券型,ZHONGOUGUNLIYINIANGUNDONGCHIYOUZHAIQUANC
6053,007624,HANNFDKZA,华安年年丰定开债A,定开债券,HUAANNIANNIANFENGDINGKAIZHAIA
6054,007625,HANNFDKZC,华安年年丰定开债C,定开债券,HUAANNIANNIANFENGDINGKAIZHAIC
6055,007628,NFQQZQQDIIRMBA,南方全球债券(QDII)人民币A,QDII,NANFANGQUANQIUZHAIQUANQDIIRENMINBIA
6056,007629,NFQQZQQDIIRMBC,南方全球债券(QDII)人民币C,QDII,NANFANGQUANQIUZHAIQUANQDIIRENMINBIC
6057,007630,NFQQZQQDIIMYXHA,南方全球债券(QDII)美元现汇A,QDII,NANFANGQUANQIUZHAIQUANQDIIMEIYUANXIANHUIA
6058,007631,NFQQZQQDIIMYXHC,南方全球债券(QDII)美元现汇C,QDII,NANFANGQUANQIUZHAIQUANQDIIMEIYUANXIANHUIC
6059,007632,HRYDAXLHPZHHC,华润元大安鑫灵活配置混合C,混合型,HUARUNYUANDAANXINLINGHUOPEIZHIHUNHEC
6060,007635,YHTYZDZA,银河天盈中短债A,债券型,YINHETIANYINGZHONGDUANZHAIA
6061,007636,YHTYZDZC,银河天盈中短债C,债券型,YINHETIANYINGZHONGDUANZHAIC
6062,007637,XYXRXDZC,兴银鑫日享短债C,债券型,XINGYINXINRIXIANGDUANZHAIC
6063,007638,QHKYKYPHYLSNFOF,前海开源康颐平衡养老三年(FOF),混合-FOF,QIANHAIKAIYUANKANGYIPINGHENGYANGLAOSANNIANFOF
6064,007639,HTF3NFBJZYSHH,汇添富3年封闭竞争优势混合,混合型,HUITIANFU3NIANFENGBIJINGZHENGYOUSHIHUNHE
6065,007640,TDHLYLZQ,泰达宏利永利债券,债券型,TAIDAHONGLIYONGLIZHAIQUAN
6066,007641,TDHLXLZQA,泰达宏利鑫利债券A,定开债券,TAIDAHONGLIXINLIZHAIQUANA
6067,007642,TDHLXLZQC,泰达宏利鑫利债券C,定开债券,TAIDAHONGLIXINLIZHAIQUANC
6068,007643,HAWJYLYNFOF,华安稳健养老一年(FOF),混合-FOF,HUAANWENJIANYANGLAOYINIANFOF
6069,007644,HBBRZQ,华宝宝润债券,债券型,HUABAOBAORUNZHAIQUAN
6070,007645,PAJXYDKZA,平安季享裕定开债A,定开债券,PINGANJIXIANGYUDINGKAIZHAIA
6071,007646,PAJXYDKZC,平安季享裕定开债C,定开债券,PINGANJIXIANGYUDINGKAIZHAIC
6072,007647,PAJXYDKZE,平安季享裕定开债E,定开债券,PINGANJIXIANGYUDINGKAIZHAIE
6073,007649,BSYZPHYLFOF,博时颐泽平衡养老(FOF),混合-FOF,BOSHIYIZEPINGHENGYANGLAOFOF
6074,007650,GYYL2040FOF,工银养老2040(FOF),混合-FOF,GONGYINYANGLAO2040FOF
6075,007651,GYYL2045SNCYHHFOF,工银养老2045三年持有混合(FOF),混合-FOF,GONGYINYANGLAO2045SANNIANCHIYOUHUNHEFOF
6076,007652,HXWJYLYNFOF,华夏稳健养老一年(FOF),混合-FOF,HUAXIAWENJIANYANGLAOYINIANFOF
6077,007653,CSWY6GYA,长盛稳益6个月A,定开债券,CHANGSHENGWENYI6GEYUEA
6078,007654,CSWY6GYC,长盛稳益6个月C,定开债券,CHANGSHENGWENYI6GEYUEC
6079,007655,NFDYZDZA,南方定元中短债A,债券型,NANFANGDINGYUANZHONGDUANZHAIA
6080,007656,NFDYZDZC,南方定元中短债C,债券型,NANFANGDINGYUANZHONGDUANZHAIC
6081,007657,DFHZZJZLZSA,东方红中证竞争力指数A,股票指数,DONGFANGHONGZHONGZHENGJINGZHENGLIZHISHUA
6082,007658,DFHZZJZLZSC,东方红中证竞争力指数C,股票指数,DONGFANGHONGZHONGZHENGJINGZHENGLIZHISHUC
6083,007659,BSFH3GYDKZFQS,博时富汇3个月定开债发起式,定开债券,BOSHIFUHUI3GEYUEDINGKAIZHAIFAQISHI
6084,007660,ZSHYJHYLSNFOF,招商和悦均衡养老三年(FOF),混合-FOF,ZHAOSHANGHEYUEJUNHENGYANGLAOSANNIANFOF
6085,007661,NFYL2030SNFOF,南方养老2030三年(FOF),混合-FOF,NANFANGYANGLAO2030SANNIANFOF
6086,007662,FGXWJHYLSNFOF,富国鑫旺均衡养老三年(FOF),混合-FOF,FUGUOXINWANGJUNHENGYANGLAOSANNIANFOF
6087,007663,PAAXLHPZHHC,平安安享灵活配置混合C,混合型,PINGANANXIANGLINGHUOPEIZHIHUNHEC
6088,007664,YYCYBZSFQSA,永赢创业板指数发起式A,股票指数,YONGYINGCHUANGYEBANZHISHUFAQISHIA
6089,007665,YYCYBZSFQSC,永赢创业板指数发起式C,股票指数,YONGYINGCHUANGYEBANZHISHUFAQISHIC
6090,007666,HXDHZQA,华夏鼎泓债券A,债券型,HUAXIADINGHONGZHAIQUANA
6091,007667,HXDHZQC,华夏鼎泓债券C,债券型,HUAXIADINGHONGZHAIQUANC
6092,007668,GFYL2035SNCYQHHFOF,广发养老2035三年持有期混合(FOF),混合-FOF,GUANGFAYANGLAO2035SANNIANCHIYOUQIHUNHEFOF
6093,007669,TPRYHHC,太平睿盈混合C,混合型,TAIPINGRUIYINGHUNHEC
6094,007670,JSSYYHJXZQ,嘉实商业银行精选债券,债券型,JIASHISHANGYEYINHANGJINGXUANZHAIQUAN
6095,007671,JXZZHLQLZSA,建信中证红利潜力指数A,股票指数,JIANXINZHONGZHENGHONGLIQIANLIZHISHUA
6096,007672,JXZZHLQLZSC,建信中证红利潜力指数C,股票指数,JIANXINZHONGZHENGHONGLIQIANLIZHISHUC
6097,007673,ZJARWJYLYNFOF,中加安瑞稳健养老一年(FOF),混合-FOF,ZHONGJIAANRUIWENJIANYANGLAOYINIANFOF
6098,007674,GYCYSJGPA,工银产业升级股票A,股票型,GONGYINCHANYESHENGJIGUPIAOA
6099,007675,GYCYSJGPC,工银产业升级股票C,股票型,GONGYINCHANYESHENGJIGUPIAOC
6100,007676,FCTHCZA,蜂巢添汇纯债A,债券型,FENGCHAOTIANHUICHUNZHAIA
6101,007677,FCTHCZC,蜂巢添汇纯债C,债券型,FENGCHAOTIANHUICHUNZHAIC
6102,007678,TDHLPPSJHHA,泰达宏利品牌升级混合A,混合型,TAIDAHONGLIPINPAISHENGJIHUNHEA
6103,007679,TDHLPPSJHHC,泰达宏利品牌升级混合C,混合型,TAIDAHONGLIPINPAISHENGJIHUNHEC
6104,007680,ZJXLSNZQ,中加享利三年债券,定开债券,ZHONGJIAXIANGLISANNIANZHAIQUAN
6105,007681,PHFDZQ,鹏华丰登债券,债券型,PENGHUAFENGDENGZHAIQUAN
6106,007682,PHJLLNDKZ,鹏华锦利两年定开债,定开债券,PENGHUAJINLILIANGNIANDINGKAIZHAI
6107,007683,HSZZJXZQA,华商转债精选债券A,债券型,HUASHANGZHUANZHAIJINGXUANZHAIQUANA
6108,007684,HSZZJXZQC,华商转债精选债券C,债券型,HUASHANGZHUANZHAIJINGXUANZHAIQUANC
6109,007685,HSDZHYLHGP,华商电子行业量化股票,股票型,HUASHANGDIANZIHANGYELIANGHUAGUPIAO
6110,007686,DFJZWJLHPZHHC,东方价值挖掘灵活配置混合C,混合型,DONGFANGJIAZHIWAJUELINGHUOPEIZHIHUNHEC
6111,007687,DFCZSYLHPZHHC,东方成长收益灵活配置混合C,混合型,DONGFANGCHENGZHANGSHOUYILINGHUOPEIZHIHUNHEC
6112,007688,TDYL2040SNCYHHFOFA,泰达养老2040三年持有混合(FOF)A,混合-FOF,TAIDAYANGLAO2040SANNIANCHIYOUHUNHEFOFA
6113,007689,GTRYXNYHHA,国投瑞银新能源混合A,混合型,GUOTOURUIYINXINNENGYUANHUNHEA
6114,007690,GTRYXNYHHC,国投瑞银新能源混合C,混合型,GUOTOURUIYINXINNENGYUANHUNHEC
6115,007691,YYZLYNDK,永赢泽利一年定开,定开债券,YONGYINGZELIYINIANDINGKAI
6116,007692,YYDLZQA,永赢鼎利债券A,债券型,YONGYINGDINGLIZHAIQUANA
6117,007693,YYDLZQC,永赢鼎利债券C,债券型,YONGYINGDINGLIZHAIQUANC
6118,007694,TDYL2040SNCYHHFOFC,泰达养老2040三年持有混合(FOF)C,混合-FOF,TAIDAYANGLAO2040SANNIANCHIYOUHUNHEFOFC
6119,007695,TDYL2040SNCYHHFOFE,泰达养老2040三年持有混合(FOF)E,混合-FOF,TAIDAYANGLAO2040SANNIANCHIYOUHUNHEFOFE
6120,007696,JSRXHB,嘉实融享货币,货币型,JIASHIRONGXIANGHUOBI
6121,007697,ZJHYZQZQA,中金衡益增强债券A,债券型,ZHONGJINHENGYIZENGQIANGZHAIQUANA
6122,007698,ZJHYZQZQC,中金衡益增强债券C,债券型,ZHONGJINHENGYIZENGQIANGZHAIQUANC
6123,007699,JXRXYNDQKFZQ,建信荣禧一年定期开放债券,定开债券,JIANXINRONGXIYINIANDINGQIKAIFANGZHAIQUAN
6124,007701,GLA6GYDKZA,国联安6个月定开债A,定开债券,GUOLIANAN6GEYUEDINGKAIZHAIA
6125,007702,GLA6GYDKZC,国联安6个月定开债C,定开债券,GUOLIANAN6GEYUEDINGKAIZHAIC
6126,007703,WJXSCZA,万家鑫盛纯债A,债券型,WANJIAXINSHENGCHUNZHAIA
6127,007704,WJXSCZC,万家鑫盛纯债C,债券型,WANJIAXINSHENGCHUNZHAIC
6128,007705,CCHKWJYLYNFOF,长城恒康稳健养老一年(FOF),混合-FOF,CHANGCHENGHENGKANGWENJIANYANGLAOYINIANFOF
6129,007706,NFCYZQA,南方聪元债券A,债券型,NANFANGCONGYUANZHAIQUANA
6130,007707,NFCYZQC,南方聪元债券C,债券型,NANFANGCONGYUANZHAIQUANC
6131,007708,ZYRFFDJZXHBA,中银瑞福浮动净值型货币A,货币型,ZHONGYINRUIFUFUDONGJINGZHIXINGHUOBIA
6132,007709,ZYRFFDJZXHBC,中银瑞福浮动净值型货币C,货币型,ZHONGYINRUIFUFUDONGJINGZHIXINGHUOBIC
6133,007710,GLHTSGYDKZA,格林泓泰三个月定开债A,定开债券,GELINHONGTAISANGEYUEDINGKAIZHAIA
6134,007711,GLHTSGYDKZC,格林泓泰三个月定开债C,定开债券,GELINHONGTAISANGEYUEDINGKAIZHAIC
6135,007712,ZYKX3GYDQKFZQ,中银康享3个月定期开放债券,定开债券,ZHONGYINKANGXIANG3GEYUEDINGQIKAIFANGZHAIQUAN
6136,007713,HFKJDNHH,华富科技动能混合,混合型,HUAFUKEJIDONGNENGHUNHE
6137,007714,NFHYLLZZQA,南方贺元利率债债券A,债券型,NANFANGHEYUANLILVZHAIZHAIQUANA
6138,007715,NFHYLLZZQC,南方贺元利率债债券C,债券型,NANFANGHEYUANLILVZHAIZHAIQUANC
6139,007716,JSZHCZZQ,嘉实致华纯债债券,债券型,JIASHIZHIHUACHUNZHAIZHAIQUAN
6140,007717,GYZXDZZQF,工银尊享短债债券F,债券型,GONGYINZUNXIANGDUANZHAIZHAIQUANF
6141,007718,ZYCXYLHHA,中银创新医疗混合A,混合型,ZHONGYINCHUANGXINYILIAOHUNHEA
6142,007719,YYYLZQA,永赢元利债券A,债券型,YONGYINGYUANLIZHAIQUANA
6143,007720,YYYLZQC,永赢元利债券C,债券型,YONGYINGYUANLIZHAIQUANC
6144,007721,THBP500QDIIFOFA,天弘标普500(QDII-FOF)A,QDII,TIANHONGBIAOPU500QDIIFOFA
6145,007722,THBP500QDIIFOFC,天弘标普500(QDII-FOF)C,QDII,TIANHONGBIAOPU500QDIIFOFC
6146,007723,PHJR86GYDKZ,鹏华锦润86个月定开债,定开债券,PENGHUAJINRUN86GEYUEDINGKAIZHAI
6147,007725,ZSRWHHA,招商瑞文混合A,混合型,ZHAOSHANGRUIWENHUNHEA
6148,007726,ZSRWHHC,招商瑞文混合C,混合型,ZHAOSHANGRUIWENHUNHEC
6149,007729,ZSPSQQPZQDIIFOFRMB,招商普盛全球配置(QDII-FOF)人民币,QDII,ZHAOSHANGPUSHENGQUANQIUPEIZHIQDIIFOFRENMINBI
6150,007730,PAJGJHBC,平安金管家货币C,货币型,PINGANJINGUANJIAHUOBIC
6151,007731,MSJYCXCZHHA,民生加银持续成长混合A,混合型,MINSHENGJIAYINCHIXUCHENGZHANGHUNHEA
6152,007732,MSJYCXCZHHC,民生加银持续成长混合C,混合型,MINSHENGJIAYINCHIXUCHENGZHANGHUNHEC
6153,007733,NFZRHHA,南方智锐混合A,混合型,NANFANGZHIRUIHUNHEA
6154,007734,NFZRHHC,南方智锐混合C,混合型,NANFANGZHIRUIHUNHEC
6155,007735,JYMAHBDKC,金鹰民安回报定开C,混合型,JINYINGMINANHUIBAODINGKAIC
6156,007736,MSJYJXSNDKZ,民生加银聚鑫三年定开债,定开债券,MINSHENGJIAYINJUXINSANNIANDINGKAIZHAI
6157,007737,NDYFCX100,诺德研发创新100,股票指数,NUODEYANFACHUANGXIN100
6158,007738,CHWHZQA,淳厚稳惠债券A,债券型,CHUNHOUWENHUIZHAIQUANA
6159,007739,CHWHZQC,淳厚稳惠债券C,债券型,CHUNHOUWENHUIZHAIQUANC
6160,007740,THXYZQA,天弘信益债券A,债券型,TIANHONGXINYIZHAIQUANA
6161,007741,THXYZQC,天弘信益债券C,债券型,TIANHONGXINYIZHAIQUANC
6162,007744,CSAYCZZQA,长盛安逸纯债债券A,债券型,CHANGSHENGANYICHUNZHAIZHAIQUANA
6163,007745,CSAYCZZQC,长盛安逸纯债债券C,债券型,CHANGSHENGANYICHUNZHAIZHAIQUANC
6164,007746,HAXJRL,华安现金润利,货币型,HUAANXIANJINRUNLI
6165,007747,HFTPHYLFOF,海富通平衡养老(FOF),混合-FOF,HAIFUTONGPINGHENGYANGLAOFOF
6166,007748,THYL2035SNFOF,天弘养老2035三年(FOF),混合-FOF,TIANHONGYANGLAO2035SANNIANFOF
6167,007749,MSJYPCHHC,民生加银鹏程混合C,混合型,MINSHENGJIAYINPENGCHENGHUNHEC
